Frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z
1,956.2988,183.0689,-85.0914,948.5997,164.4269,-62.8268,947.2869,163.6505,-62.8913,945.554,162.663,-62.9487,945.6965,164.4243,-126.8527,942.3339,163.672,-126.8544,938.5513,162.7708,-126.9582,920.3142,167.2403,62.2623,916.4102,167.9755,-226.2641,948.6309,198.3976,-31.5724,944.0911,200.2126,-115.5175,913.0011,262.2423,256.2963,898.1841,253.2884,-374.5442,1047.4996,274.1333,335.7221,1039.1174,266.5417,-520.8884,1166.7609,244.0911,172.0709,1168.3746,239.5377,-543.7248,1197.8613,239.1985,157.5972,1205.3221,239.6573,-625.2101,1200.2124,228.6564,94.1319,1203.9085,224.5386,-593.5429,1189.5172,231.1351,135.5589,1192.562,224.6226,-534.282,903.2384,489.35,201.7867,898.913,488.1571,-201.905,903.6243,689.2515,211.4353,900.6681,694.969,-182.6431,897.6946,870.056,333.2193,892.9839,895.8503,-114.4826,880.4518,896.415,337.7158,873.231,928.1477,-118.3634,976.115,905.9497,217.1422,978.7585,933.8389,-291.4553
2,955.6669,182.1764,-100.2665,948.1086,164.0071,-77.4237,946.8048,163.3098,-77.4862,945.1282,162.4291,-77.5362,945.0167,163.8984,-139.2674,941.7147,163.1753,-139.2688,937.8336,162.3113,-139.3687,920.284,167.1113,48.902,915.6299,167.8144,-230.1031,947.6754,198.0526,-46.3525,943.1252,199.818,-127.3172,912.9894,262.0449,251.8448,898.4933,253.1861,-380.5092,1047.3699,273.6189,316.4641,1039.3708,266.5522,-519.708,1165.6982,244.0705,162.0693,1168.236,239.7197,-536.9959,1197.9068,238.9166,153.3776,1205.2485,239.0134,-618.5871,1200.0374,228.3543,91.2826,1203.7841,223.6759,-580.8911,1189.0825,230.701,127.207,1192.5493,223.9478,-525.4566,903.8691,489.5346,201.6107,898.4559,489.1166,-201.7348,904.586,689.5543,229.1523,900.6834,695.2095,-173.7756,898.6516,868.4087,367.8854,893.324,894.8432,-91.6778,881.319,894.9762,375.0696,873.2371,926.3305,-92.8939,976.9299,904.1693,267.8619,978.7962,934.9775,-256.8538
3,952.9296,181.7699,-76.4286,945.5156,163.8466,-54.1757,944.21,163.21,-54.2157,942.4897,162.3887,-54.2518,942.4168,163.6701,-116.7565,938.9408,162.958,-116.7642,935.0558,162.1386,-116.8732,918.2376,167.1728,66.9494,913.1919,167.8386,-214.7896,944.8721,198.0291,-24.487,940.5386,199.6082,-106.4178,910.6229,262.7453,268.4422,898.4211,253.308,-370.6322,1046.1361,273.677,325.1392,1038.9253,266.749,-501.7846,1162.4729,244.7635,178.0147,1166.7569,239.7627,-512.4998,1195.9734,239.0355,171.9158,1203.3073,238.335,-591.7421,1198.0004,228.4486,111.0098,1201.5004,223.0838,-550.603,1186.5515,230.7362,143.8339,1190.3763,223.5226,-499.2029,906.3621,489.7828,201.1854,901.2821,489.3808,-201.3027,906.0112,690.2693,226.7673,901.0332,695.4182,-173.729,900.1097,868.0566,361.4182,893.4473,894.5295,-95.4675,882.2775,894.8873,368.1822,873.2125,925.5982,-97.0165,978.6113,903.7429,260.1768,978.8046,935.9676,-258.9307
4,951.6075,181.7392,-59.6567,943.9601,163.8458,-37.6387,942.5375,163.2128,-37.6687,940.7227,162.4156,-37.6943,941.077,163.6667,-100.4144,937.6693,162.9579,-100.4237,933.8488,162.1464,-100.5334,916.7758,167.3871,80.6483,911.8933,168.0342,-202.0127,943.1948,198.0839,-8.7927,939.2119,199.6008,-91.0084,909.0707,262.7732,278.3365,898.3797,253.2807,-359.1838,1045.5676,273.5551,331.82,1037.7573,266.7846,-487.6842,1159.6329,245.1633,181.6257,1164.6325,239.903,-495.9616,1193.7796,239.0575,174.8765,1201.4018,238.0285,-573.6198,1195.5387,228.4614,114.2091,1199.3087,222.7915,-533.2075,1183.9699,230.7419,147.6127,1188.0944,223.345,-482.6597,907.4594,489.8026,201.0882,902.6338,489.472,-201.203,906.5828,690.5236,225.9385,901.1408,696.0885,-174.1769,900.9872,867.1276,358.1593,893.6107,894.5487,-95.8866,883.0896,894.176,364.6884,873.2166,925.6241,-98.8457,978.6132,902.234,258.1658,978.6412,936.9774,-263.4881
5,950.5884,181.5211,-53.9529,942.5848,163.7315,-31.8756,941.0471,163.1224,-31.9108,939.1528,162.3628,-31.9384,939.9548,163.5669,-95.6423,936.6258,162.8894,-95.6518,932.8936,162.1109,-95.7675,915.4918,167.389,85.9396,911.0307,168.035,-200.7267,941.8398,198.0554,-3.2052,938.1907,199.4562,-86.6321,907.6718,262.6797,283.5398,898.3878,253.1496,-359.0786,1044.2403,273.3927,336.8381,1036.6071,266.9357,-488.44,1157.1997,245.6402,180.8801,1162.9358,240.1627,-494.7454,1191.7706,239.0561,172.9938,1199.8689,237.8939,-572.3349,1193.0499,228.4379,112.1921,1197.3461,222.3862,-532.3367,1180.9489,230.769,146.6066,1185.9139,223.1339,-481.424,907.8092,489.8087,201.3021,903.6531,489.5646,-201.4144,906.7672,690.7228,227.9503,901.4911,696.3048,-174.5501,901.5615,866.9587,360.7943,893.9329,894.5533,-97.8371,883.4676,894.0801,367.5252,873.2261,925.6032,-100.9763,978.7095,902.2848,263.2333,978.6437,938.0498,-263.0966
6,950.086,181.3887,-48.3612,941.7532,163.6498,-26.2161,940.13,163.0536,-26.2519,938.178,162.32,-26.2797,939.2568,163.4925,-90.6165,935.9817,162.8375,-90.6255,932.2977,162.0844,-90.7461,914.5919,167.3896,91.4924,910.5664,168.0358,-198.1394,941.1268,198.0424,2.3936,937.6409,199.3573,-81.8846,907.0098,262.6562,289.0838,898.445,253.0308,-358.1654,1043.2602,273.2929,344.0872,1035.9798,266.9766,-488.4044,1155.7858,246.2382,184.0223,1162.2917,240.2787,-493.8361,1190.3392,239.0669,176.1719,1199.3008,237.6515,-571.446,1191.5706,228.4392,115.3548,1196.6547,221.9808,-530.6035,1179.3657,230.8706,149.6742,1185.2547,222.9143,-480.0829,908.1835,489.8032,201.4733,904.6267,489.5747,-201.5836,906.8108,691.0541,228.8462,901.7033,696.4364,-174.813,901.9895,866.797,363.4915,894.0117,894.556,-99.2359,883.6777,894.1356,370.4389,873.2059,925.6195,-101.592,978.749,902.3128,265.9662,978.6004,938.4486,-260.6736
7,945.8707,181.3901,-54.2791,937.9773,163.6874,-32.0739,936.4997,163.1214,-32.1167,934.6552,162.4589,-32.1518,934.9063,163.5048,-96.2022,931.3348,162.8614,-96.2094,927.5955,162.1625,-96.3248,910.8444,168.0932,87.302,906.1121,168.6618,-200.643,938.3066,198.1589,-2.8914,934.265,199.4038,-86.792,905.4913,264.5481,284.5745,897.0761,253.7177,-357.8617,1041.7045,273.6079,342.1188,1035.0203,266.8828,-489.9947,1153.6901,250.0182,183.1642,1160.6099,240.7084,-499.9026,1186.4664,241.9503,174.6578,1196.883,237.7514,-578.6872,1188.071,230.3483,113.5233,1193.2401,222.0605,-538.1795,1176.4688,232.8514,148.6021,1182.4258,222.9747,-486.5571,909.9813,489.8231,200.9028,908.8828,489.7808,-201.0089,907.0224,691.9392,227.9928,902.4013,696.7583,-174.991,902.4759,866.8053,362.1372,894.0121,894.5441,-100.1376,883.8741,894.5458,369.1277,873.0432,925.6503,-102.393,978.8006,902.6532,263.1073,978.5877,938.6804,-262.1958
8,944.7804,181.6481,-53.3643,937.0048,164.0362,-31.3649,935.5693,163.4989,-31.4031,933.7961,162.9327,-31.433,933.9448,163.7762,-94.2247,930.4343,163.1544,-94.2279,926.6564,162.5592,-94.3334,909.8706,168.7902,87.21,904.982,169.2851,-195.8702,936.9794,198.6491,-2.5029,933.0246,199.6582,-84.9248,904.7178,265.6166,282.0719,896.5753,254.6717,-350.5417,1041.1467,273.5754,333.9722,1034.8523,266.5982,-481.7407,1153.255,250.959,175.9639,1160.3483,240.8785,-492.7281,1185.6779,242.6682,167.3379,1196.4751,237.802,-570.7989,1187.2839,230.7442,106.636,1193.0322,222.0651,-528.8973,1175.8899,233.3386,141.8448,1182.2982,222.9761,-478.9758,911.0048,489.8236,198.6154,910.6291,489.927,-198.7115,907.6404,692.0507,223.3594,903.8835,696.6065,-175.0397,902.7762,867.1971,351.6936,894.03,893.5522,-105.6121,884.0366,894.8765,358.1955,873.0361,925.0119,-107.4934,980.3505,902.6594,255.8595,979.341,937.8643,-262.3693
9,944.2273,181.6917,-55.553,936.3192,164.0709,-33.4579,934.8294,163.5396,-33.4975,933.0394,162.9963,-33.5283,933.3809,163.8034,-96.3976,929.9317,163.1901,-96.4012,926.1183,162.619,-96.5081,909.0416,168.8901,85.8874,904.1926,169.3904,-197.6043,936.1677,198.8408,-4.384,932.3832,199.7451,-86.9049,904.0475,265.7264,280.6597,896.0532,255.0326,-351.9739,1040.8538,273.3942,331.5452,1034.294,266.525,-484.5001,1153.0956,250.7907,173.2828,1159.3554,240.8441,-495.6486,1185.7494,242.6568,164.6761,1195.6013,237.8644,-573.8492,1187.2294,230.7215,104.1916,1192.4949,222.0307,-532.5042,1175.6263,233.3241,139.2008,1181.4839,222.7715,-482.0935,912.3303,489.9375,197.639,910.9947,490.2984,-197.7346,907.9589,692.6062,223.2785,904.4189,696.6793,-174.0726,902.7661,867.223,353.0517,893.8889,892.8915,-102.3487,884.1073,894.8975,359.6861,873.0387,924.8576,-103.4978,981.0514,902.4369,255.5064,979.6946,937.3034,-259.2818
10,944.1716,181.734,-54.4758,936.0796,164.0969,-32.1359,934.5301,163.5712,-32.1726,932.7133,163.0521,-32.2009,933.1868,163.8257,-95.4891,929.7962,163.2195,-95.49,925.9739,162.6751,-95.5986,908.6447,169.0503,87.6272,903.7623,169.5516,-197.8235,935.9568,199.0079,-3.2114,932.2467,199.8316,-86.2763,903.8734,265.8712,282.0777,895.2516,255.2491,-353.059,1040.5934,273.2546,337.0094,1033.5934,266.2969,-486.5042,1153.0522,250.6728,181.0368,1158.33,240.8198,-498.1866,1185.7292,242.6117,173.0179,1194.6398,237.8611,-576.7207,1187.0541,230.6064,111.6123,1191.5624,221.8012,-536.2205,1175.5748,233.2579,146.665,1180.5127,222.5191,-485.009,913.6661,490.0427,197.7043,910.7895,490.5706,-197.8007,908.3303,692.614,223.6618,904.7143,696.666,-175.0607,902.7583,867.2928,355.8995,893.9002,892.6553,-103.5217,883.9939,894.9041,362.748,873.087,924.5853,-104.3305,980.8477,902.4765,258.2924,979.9038,937.1791,-259.6037
