Frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z
1,928.6035,253.2819,-128.9695,928.1039,239.5778,-96.6574,929.4031,239.1231,-96.6949,930.6458,238.5872,-96.7289,919.5462,239.0999,-125.9277,914.1997,238.4386,-125.846,908.1466,237.8562,-125.811,921.9432,242.1948,52.7733,889.3072,243.0091,-81.8025,929.081,266.8222,-72.9263,919.2254,267.6374,-111.9861,939.8634,320.7422,160.2057,864.2023,316.4353,-199.5182,1031.8922,323.2796,152.2556,950.2969,328.3132,-418.1539,1120.4568,312.6038,6.3476,1019.9938,307.0301,-490.0322,1145.8502,304.1596,-21.3142,1041.119,302.9187,-543.5942,1145.2826,296.5695,-57.9892,1041.3977,294.1808,-529.3163,1137.5157,299.2659,-16.4103,1043.6008,295.1272,-487.3753,941.7554,505.6591,104.5559,888.8952,502.5087,-104.6613,940.4664,657.117,143.8582,874.5217,659.5531,-186.9602,942.1331,796.8534,259.8372,850.77,817.7705,-162.6565,931.3434,816.1659,263.1638,842.1542,839.7309,-168.798,1006.4844,831.3444,157.5832,894.0875,864.8799,-330.8712
2,929.8621,253.6504,-102.984,928.7962,240.383,-70.9821,929.877,240.0271,-71.0027,930.8597,239.6556,-70.9989,920.6204,239.9022,-103.4158,916.0685,239.2878,-103.3421,910.7628,238.7677,-103.3097,920.3807,243.5755,79.2834,892.7995,243.7147,-69.7442,929.087,267.3368,-46.1827,920.1648,268.0245,-89.5281,937.9285,320.0569,183.7602,863.711,316.4325,-192.1451,1027.77,323.9649,142.7847,934.6021,331.3786,-420.7069,1117.1151,312.4903,-57.9028,1011.2226,311.793,-497.5455,1143.6674,304.2394,-92.6907,1029.2712,308.0314,-548.3924,1143.8508,297.567,-124.3785,1030.9212,300.6511,-537.7777,1136.1045,300.0711,-80.1861,1027.1666,302.3537,-495.3382,939.9792,505.8791,107.6539,888.6295,502.4129,-107.7869,939.2576,657.1788,148.521,872.9566,659.9366,-194.9035,942.152,797.9697,259.8369,851.1069,818.1223,-189.644,931.1184,818.2481,263.0365,841.4951,840.8744,-197.1624,1006.9493,830.898,157.3716,894.155,863.9681,-359.1607
3,930.3079,253.8389,-100.0336,929.1023,240.8609,-67.76,930.0962,240.5772,-67.7817,930.9605,240.3218,-67.7757,921.066,240.356,-100.0607,916.8582,239.7878,-99.9894,911.7994,239.3008,-99.959,919.594,244.4337,83.6011,894.1445,244.1196,-65.3039,929.0616,267.6415,-42.8648,920.4968,268.2077,-86.0283,937.0314,319.5622,187.7197,863.3128,316.432,-187.9926,1026.1106,324.4258,135.3143,929.9092,333.5682,-423.597,1115.7923,312.31,-71.9506,1006.0934,314.6331,-507.7782,1142.4275,304.2568,-107.2185,1025.0836,310.3232,-558.3295,1143.4919,298.0634,-138.5664,1027.0093,303.3414,-548.6971,1135.3142,300.4913,-94.2341,1022.4457,305.2964,-505.8352,939.1005,505.937,108.7922,888.3961,502.2467,-108.9347,938.6105,657.2258,150.7825,872.1748,660.0644,-201.92,942.1458,798.646,260.3741,851.4936,818.3543,-200.167,930.5079,819.6829,263.3045,841.1286,841.7172,-207.983,1007.1777,830.4062,157.3712,894.4,863.4151,-372.1185
4,930.5391,253.8623,-99.1416,929.2817,240.9935,-66.5882,930.2382,240.7541,-66.6126,931.0348,240.5702,-66.6082,921.3025,240.4784,-98.5381,917.2825,239.9615,-98.4676,912.3426,239.5015,-98.4366,919.1996,244.8229,85.4299,894.8147,244.2612,-61.7675,929.037,267.7025,-41.8181,920.6858,268.2268,-84.4809,936.6674,319.3868,188.476,863.0628,316.4375,-184.5526,1025.2548,324.6337,128.7791,929.3721,334.9491,-424.0715,1115.2777,312.1466,-80.6011,1004.9062,315.7137,-508.8246,1141.736,304.2733,-116.203,1023.4899,311.1855,-559.2167,1143.2175,298.3593,-146.8916,1025.6087,304.1392,-549.2548,1134.7964,300.7351,-102.6334,1021.3453,306.188,-506.7937,938.6703,505.9567,108.9244,888.1916,502.0784,-109.0664,938.2946,657.2339,151.2053,871.7298,660.1523,-208.7243,942.1057,798.8812,260.5318,851.7867,818.6683,-210.2674,930.0896,820.1228,263.3575,840.8145,842.5953,-218.5275,1007.2799,829.9014,157.3321,894.6403,862.8941,-384.1224
5,930.7075,253.8816,-100.3302,929.4059,241.0698,-67.8903,930.3317,240.8605,-67.9168,931.0788,240.7233,-67.9145,921.4908,240.5511,-100.0509,917.5786,240.0794,-99.9794,912.7074,239.6448,-99.9489,918.8892,245.0571,83.8159,895.1965,244.3469,-63.7098,929.0168,267.7562,-43.038,920.8323,268.2497,-85.9618,936.3464,319.2245,187.6742,862.9104,316.4535,-185.9797,1024.6112,324.7025,128.8364,930.4798,335.4777,-424.3946,1114.7138,312.0355,-77.8289,1005.9939,315.8767,-506.5436,1141.0729,304.2964,-113.3568,1023.1602,311.6148,-557.6059,1142.3285,298.5611,-144.1134,1025.407,304.4189,-546.7779,1134.1674,300.916,-99.8341,1021.5965,306.4718,-504.3953,938.3683,505.9717,109.1744,888.0362,501.9593,-109.3158,938.1196,657.2438,152.4928,871.5351,660.2136,-211.2755,942.1195,799.0116,262.9426,851.8993,818.9675,-213.0339,930.0646,820.1718,265.6896,840.4568,843.1969,-221.3699,1007.3643,829.5213,159.4639,894.7733,862.5973,-387.142
6,930.7823,253.9138,-102.8105,929.4961,241.1371,-70.3326,930.4062,240.952,-70.3603,931.1186,240.8504,-70.361,921.611,240.6102,-102.4508,917.7595,240.1699,-102.3777,912.9197,239.7512,-102.3467,918.6689,245.2175,81.6432,895.4369,244.3976,-64.5222,928.9705,267.818,-45.4268,920.895,268.2739,-88.3445,935.9403,319.1223,186.9067,862.7895,316.4756,-187.285,1023.8941,324.741,129.8878,931.8228,335.6832,-425.2002,1114.0972,311.9858,-75.4476,1006.7141,316.0493,-506.178,1140.328,304.3125,-111.0843,1024.2902,311.5373,-556.2177,1141.3703,298.6902,-141.9858,1025.5337,304.6429,-546.0632,1133.3462,301.0567,-97.5473,1023.0185,306.2984,-503.9775,938.1104,506.0092,109.498,887.9051,501.9134,-109.6395,938.0121,657.3068,152.4543,871.3471,660.3112,-209.8477,942.1204,799.2118,263.522,851.9551,819.1607,-207.6078,929.8562,820.4345,266.2752,840.1047,843.5959,-215.525,1007.5121,829.412,159.9156,894.7727,862.2222,-380.8697
7,930.8183,253.9741,-103.7733,929.557,241.2094,-70.6039,930.4593,241.0431,-70.6332,931.1484,240.9688,-70.6268,921.6827,240.6708,-104.8067,917.8666,240.2509,-104.734,913.0451,239.8394,-104.7071,918.4867,245.3239,79.6316,895.6233,244.4257,-70.1836,928.9177,267.8958,-46.2976,920.9277,268.3125,-90.3258,935.4967,319.0411,185.8228,862.752,316.5045,-192.5338,1023.6272,324.7664,131.473,932.7481,335.7417,-426.7292,1113.9965,311.9452,-67.5604,1007.2869,316.0077,-505.4835,1139.9841,304.3255,-102.3998,1025.0175,311.3904,-555.9016,1140.894,298.7712,-134.082,1026.3067,304.3841,-545.0799,1132.9195,301.1388,-89.87,1023.9758,306.0622,-503.2359,937.9517,506.0235,109.6928,887.8088,501.8635,-109.8339,937.9316,657.3364,151.9967,871.2347,660.3656,-208.1112,942.1445,799.5158,263.0533,852.0223,819.2606,-202.5446,929.5508,820.979,265.7649,839.965,843.8472,-210.1801,1007.7303,829.3758,158.7573,894.7564,861.7862,-374.9418
8,930.8439,254.0163,-104.546,929.6037,241.2556,-71.6716,930.4978,241.1016,-71.702,931.1676,241.0438,-71.7013,921.7452,240.7085,-105.3104,917.9603,240.3003,-105.2365,913.161,239.8897,-105.2083,918.314,245.3715,79.4799,895.7737,244.4348,-70.2286,928.8686,267.9412,-46.9932,920.9494,268.3305,-90.9424,935.1215,318.9695,186.0496,862.7109,316.5275,-192.7155,1023.6194,324.7895,131.7607,933.4015,335.8202,-426.5877,1114.0688,311.9188,-63.1502,1007.6707,316.1033,-505.1785,1139.8042,304.348,-97.506,1025.4213,311.3094,-555.245,1140.905,298.8674,-129.4007,1026.7732,304.2886,-544.5786,1132.7551,301.2119,-85.4416,1024.471,305.9928,-502.8396,937.8492,506.0261,109.6498,887.735,501.815,-109.7901,937.884,657.3687,149.9735,871.1532,660.4266,-207.1552,942.1818,799.7855,258.8733,852.1188,819.3476,-200.2606,929.3774,821.3754,261.3313,839.9469,844.0434,-207.7764,1008.028,829.3496,154.0649,894.745,861.5488,-372.4443
9,930.8418,254.0027,-116.2932,929.598,241.2533,-83.1806,930.4975,241.1014,-83.2129,931.1682,241.0442,-83.2223,921.7419,240.7037,-117.102,917.9557,240.3,-117.0309,913.137,239.8892,-117.0115,918.2554,245.3679,71.2536,895.7113,244.4365,-81.7297,928.8445,267.9029,-57.5401,920.9541,268.2888,-102.2297,935.0265,319.1535,182.8118,862.3647,316.6149,-201.8687,1023.3635,324.8279,132.2676,933.8375,336.1208,-429.2339,1113.8123,311.9143,-60.0731,1009.7841,315.6976,-504.1221,1139.5414,304.3896,-93.7378,1025.9544,310.7489,-553.7168,1140.799,299.0279,-125.971,1027.1138,304.0251,-541.0737,1132.2329,301.3705,-82.4182,1024.8173,305.9008,-500.4948,937.6952,506.0833,109.3945,887.6157,501.7793,-109.524,937.8401,657.3716,141.8146,871.0192,660.4389,-203.3319,942.1928,799.9185,251.9475,852.2507,819.4219,-182.3413,929.2512,821.6738,254.5244,839.9488,844.2258,-188.4807,1008.1509,829.3444,144.4676,894.7507,861.4555,-354.9474
10,930.8382,253.9857,-122.5101,929.5825,241.2465,-89.4818,930.4868,241.0984,-89.5166,931.1535,241.0428,-89.5312,921.7358,240.6965,-123.2447,917.9495,240.2978,-123.1742,913.1171,239.8867,-123.1576,918.1365,245.3625,65.649,895.6621,244.4394,-87.6422,928.8194,267.8628,-63.5491,920.9566,268.2548,-108.1983,934.9454,319.2956,178.9369,862.1769,316.6943,-206.2601,1023.2845,324.8352,131.8452,935.095,336.1297,-430.8584,1113.7315,311.9093,-58.5497,1011.3136,315.4044,-503.916,1139.3995,304.4374,-91.7348,1026.3829,310.3599,-553.2723,1140.7618,299.1702,-124.1264,1027.3608,303.8048,-539.5904,1132.016,301.5044,-80.9449,1025.0836,305.8167,-499.5557,937.602,506.1282,109.0027,887.5365,501.7605,-109.1207,937.8073,657.3735,137.0234,870.9545,660.4424,-199.2345,942.2005,799.9995,247.1801,852.4104,819.491,-172.6284,929.1848,821.8621,249.7896,839.9628,844.4194,-178.3665,1008.2257,829.3191,139.0753,894.7691,861.4398,-344.5575
