Frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z
1,969.4092,218.3974,-101.2135,979.1361,201.8049,-64.7311,984.3158,201.6014,-64.7621,989.2973,201.5811,-64.8132,962.5558,203.1829,-63.9291,957.2101,203.5749,-63.9208,952.1591,204.1947,-63.9207,996.7253,209.5222,130.9457,944.7768,211.2469,136.8437,982.0327,232.0081,-27.2197,959.9763,231.6656,-26.2408,1049.0191,306.7898,185.2983,898.4136,299.869,161.5532,1072.4534,412.7089,-75.2012,851.8197,398.5216,-76.8973,985.298,322.5521,-348.2219,958.5508,330.4322,-316.1617,971.8026,281.468,-418.5257,969.4274,300.771,-384.6615,975.1838,278.711,-389.3558,968.099,295.4636,-357.9955,978.7244,289.1611,-344.5254,967.0277,304.5667,-311.5083,1010.8952,538.0973,4.5661,917.4728,538.5463,-4.4723,1061.9155,738.2241,-37.4834,882.3709,740.4005,-55.6124,1105.0938,925.7938,151.4659,847.1675,926.2065,143.8068,1091.384,955.9094,157.8856,856.0303,954.4919,150.5962,1134.9996,983.6044,-83.714,819.2228,980.5235,-93.6545
2,969.3749,216.5302,-111.4617,979.0517,200.2525,-74.389,984.2653,200.1215,-74.424,989.2688,200.1904,-74.4765,962.4662,201.6483,-73.0595,957.1619,202.1415,-73.0437,952.1285,202.8618,-73.0304,996.7812,208.3804,122.3034,944.7518,210.1983,130.5771,982.039,230.0232,-37.3462,959.957,229.9388,-35.6519,1049.3427,306.7375,177.4493,898.2107,299.8356,159.936,1072.8403,412.6741,-76.5057,851.9576,398.5402,-76.9105,984.741,322.3587,-344.1613,959.0348,329.8813,-316.9746,971.4648,281.4606,-413.5496,969.666,300.4031,-386.0166,974.6404,278.7306,-384.5964,968.1504,294.9047,-359.0925,978.0196,289.1954,-340.1941,967.0914,304.2276,-312.3025,1011.2012,538.0745,4.1771,917.4822,538.4626,-4.0802,1061.5552,738.2258,-30.8872,882.4642,740.3926,-46.3935,1105.0438,925.5536,167.9541,847.1409,926.0182,159.8108,1091.4379,955.3515,175.3177,856.0128,954.5153,167.0996,1132.9603,983.5513,-68.7456,819.0769,980.0862,-79.3808
3,969.3312,215.4424,-115.2877,978.9727,199.3079,-78.0854,984.2167,199.2158,-78.1211,989.2411,199.3327,-78.1739,962.3792,200.7136,-76.6645,957.1117,201.2576,-76.647,952.0932,202.0288,-76.6309,996.8222,207.6503,118.8935,944.7278,209.5122,127.6558,982.0406,228.8774,-41.1285,959.9308,228.9156,-39.3167,1049.5638,306.7004,174.3923,898.0496,299.8072,158.6985,1073.1231,412.6434,-77.3545,852.069,398.5511,-76.9717,984.3591,322.2179,-342.4573,959.3653,329.5113,-317.556,971.2063,281.4578,-411.5842,969.831,300.1639,-386.8779,974.2561,278.7538,-382.654,968.1855,294.5517,-359.8351,977.5429,289.2303,-338.3897,967.1372,304.0025,-312.8706,1011.4153,538.0543,3.9743,917.49,538.3971,-3.8759,1061.2907,738.2294,-27.7649,882.5291,740.3886,-43.1147,1105.0037,925.3558,173.0855,847.1138,925.8922,164.4177,1091.4656,954.9848,180.5879,855.9872,954.5324,171.7951,1131.8822,983.4882,-63.738,818.9853,979.801,-75.0531
4,969.3034,214.7829,-116.6075,978.9151,198.7227,-79.3799,984.1792,198.6473,-79.4156,989.2177,198.7859,-79.4684,962.3212,200.1347,-77.9738,957.0789,200.7041,-77.9566,952.0721,201.5018,-77.9407,996.8496,207.165,117.7123,944.7128,209.065,126.4587,982.0434,228.1798,-42.411,959.9154,228.2775,-40.6188,1049.725,306.6749,173.3769,897.9368,299.7889,158.0513,1073.3123,412.6216,-77.6531,852.1644,398.5614,-76.9793,984.068,322.0986,-341.2074,959.608,329.2414,-317.7568,970.994,281.4505,-410.258,969.9532,299.9704,-387.1867,973.9643,278.7652,-381.3001,968.2137,294.2783,-360.1277,977.1952,289.2493,-337.0945,967.1746,303.8188,-313.0748,1011.5806,538.0368,3.85,917.4991,538.3416,-3.7507,1061.0882,738.2304,-26.808,882.5891,740.3849,-42.0922,1104.9691,925.2278,173.9882,847.0826,925.7971,165.5346,1091.4804,954.7631,181.4543,855.9465,954.5407,172.9068,1131.2512,983.4461,-63.081,818.9442,979.5818,-74.1194
5,969.2833,214.4057,-117.769,978.8742,198.3798,-80.5521,984.1524,198.3113,-80.588,989.2006,198.4595,-80.6406,962.2787,199.7892,-79.1592,957.0545,200.367,-79.1421,952.0571,201.1725,-79.1265,996.8738,206.8523,116.6219,944.7024,208.763,125.332,982.0474,227.7852,-43.5352,959.9042,227.9058,-41.76,1049.8412,306.6577,172.4553,897.8479,299.7749,157.3374,1073.4401,412.6067,-78.1138,852.2437,398.5754,-77.0591,983.8483,322.0183,-340.9361,959.7958,329.0528,-318.1466,970.8377,281.4487,-410.0146,970.0515,299.8324,-387.7033,973.756,278.7812,-381.0593,968.2381,294.0875,-360.6395,976.9502,289.2722,-336.8274,967.2087,303.6883,-313.4736,1011.7053,538.024,3.7525,917.5073,538.3032,-3.6528,1060.9513,738.2313,-25.9403,882.6358,740.3825,-41.4181,1104.9419,925.1058,175.0529,847.0521,925.7218,166.4364,1091.4892,954.5477,182.5395,855.8992,954.5422,173.8403,1130.7914,983.3619,-62.1803,818.9347,979.4174,-73.3533
6,969.2718,214.4269,-116.8037,978.8713,198.3906,-79.6398,984.1501,198.3276,-79.6748,989.2003,198.4748,-79.7276,962.2757,199.8106,-78.4841,957.055,200.3906,-78.4687,952.0716,201.188,-78.4562,996.9692,206.8597,117.1964,944.7458,208.7694,125.5495,982.0731,227.7988,-42.5188,959.9023,227.9302,-40.9054,1050.1307,306.7206,171.6515,897.8451,300.141,157.8824,1073.3326,412.7904,-78.9166,852.9763,398.8919,-75.575,983.5954,321.964,-340.3253,960.0945,329.2313,-317.9338,970.696,281.5379,-409.1962,970.3726,300.5821,-387.596,973.6287,278.9021,-380.6542,968.3526,294.5644,-360.5372,976.7948,289.3295,-336.3546,967.3099,304.0259,-313.3213,1011.9006,538.0795,3.4271,917.5956,538.312,-3.3305,1060.7834,738.2592,-25.3855,882.7368,740.4524,-40.5345,1104.9379,925.0103,175.3255,847.0319,925.6094,166.8654,1091.5813,954.2341,182.854,855.8242,954.5275,174.3127,1130.5408,983.3137,-60.9079,818.9064,979.2401,-71.9588
7,969.2628,214.4583,-116.7085,978.8684,198.4101,-79.5534,984.1479,198.3453,-79.5876,989.1996,198.4891,-79.6412,962.2729,199.8257,-78.0137,957.0568,200.4026,-77.9965,952.0865,201.2001,-77.9809,997.0355,206.8631,117.711,944.788,208.7758,126.1869,982.0925,227.8323,-42.0445,959.9006,227.9571,-40.7929,1050.3238,306.7635,171.7457,897.8427,300.4188,158.6722,1073.2514,412.9173,-78.9478,853.4344,399.1098,-74.0196,983.4134,321.9118,-338.7529,960.2945,329.3649,-317.0544,970.5925,281.5992,-407.385,970.5878,301.067,-386.7843,973.5338,278.9898,-379.1244,968.4321,294.894,-359.7533,976.6832,289.3738,-334.8624,967.3818,304.2726,-312.5204,1012.0474,538.1121,3.2424,917.6819,538.3147,-3.1482,1060.6702,738.2737,-25.2213,882.8327,740.4917,-40.306,1104.9355,924.9304,175.2219,847.0081,925.5059,166.8631,1091.6615,954.0089,182.7596,855.7404,954.5024,174.3248,1130.4294,983.2608,-60.5411,818.889,979.0536,-71.5645
8,969.2482,214.4869,-115.5021,978.8632,198.4286,-78.3757,984.1459,198.3602,-78.4107,989.1982,198.5001,-78.4631,962.2706,199.8424,-76.4428,957.0567,200.4165,-76.425,952.0955,201.2126,-76.4078,997.0857,206.8632,117.7817,944.8258,208.7809,127.7104,982.1032,227.8658,-41.4901,959.8968,227.9778,-39.6936,1050.4662,306.7978,172.1073,897.8411,300.6174,159.8581,1073.1849,413.0085,-78.8254,853.7411,399.2654,-72.2789,983.2779,321.8776,-337.0622,960.4304,329.5109,-315.6163,970.4954,281.6629,-405.5818,970.7442,301.5221,-385.3319,973.4442,279.0771,-377.4164,968.4941,295.2383,-358.3722,976.5867,289.4244,-333.2071,967.4349,304.5391,-311.1486,1012.1379,538.1252,3.1385,917.7414,538.3134,-3.0462,1060.581,738.2809,-25.3963,882.9113,740.5019,-40.4975,1104.9319,924.8639,174.5,846.9707,925.4242,166.2077,1091.6968,953.8698,181.9852,855.6155,954.4769,173.629,1130.3746,983.22,-61.2127,818.8827,978.9313,-72.1905
9,969.236,214.5112,-114.5244,978.8587,198.4448,-77.4256,984.1439,198.3726,-77.461,989.1971,198.5091,-77.5128,962.2683,199.8579,-75.2648,957.0566,200.4296,-75.2467,952.1029,201.2239,-75.229,997.1269,206.8624,117.9113,944.8559,208.785,128.7922,982.113,227.8949,-40.9684,959.8936,227.9944,-38.8027,1050.5771,306.824,172.3671,897.84,300.7694,160.608,1073.1294,413.08,-78.6706,853.9708,399.3872,-71.3273,983.1713,321.8473,-335.9177,960.5285,329.6102,-314.6854,970.414,281.71,-404.3919,970.8529,301.8063,-384.358,973.3743,279.1419,-376.2582,968.5412,295.4632,-357.4515,976.5129,289.4612,-332.0797,967.4752,304.7132,-310.2521,1012.2076,538.1336,3.0759,917.7894,538.312,-2.9849,1060.5153,738.2826,-25.5304,882.9785,740.5074,-40.6723,1104.9292,924.8019,174.0568,846.9428,925.3638,165.731,1091.7285,953.7471,181.5187,855.527,954.4555,173.1251,1130.3308,983.1746,-61.5985,818.8791,978.8399,-72.673
10,969.3687,214.7571,-109.9046,978.966,198.7118,-72.9797,984.2492,198.6036,-73.0161,989.2868,198.724,-73.0678,962.3666,200.0983,-70.8225,957.1625,200.6531,-70.8043,952.2493,201.4088,-70.787,997.277,206.962,121.214,944.9114,208.8733,132.3841,982.3353,228.1644,-36.8043,959.9878,228.1405,-34.4404,1050.7676,306.904,174.0363,897.8427,300.9914,163.6402,1073.1101,413.24,-75.8853,854.1601,399.6267,-67.2758,983.03,321.8445,-332.1391,960.5568,329.8574,-309.712,970.3001,282.242,-400.6981,970.9267,302.4649,-379.0444,973.2627,279.5159,-372.7101,968.5616,295.9026,-352.5175,976.3863,289.6468,-328.3553,967.4813,305.0371,-305.385,1012.2754,538.1312,3.0592,917.8572,538.281,-2.9685,1060.4257,738.2166,-25.8096,883.0314,740.5084,-40.8121,1104.9267,924.7338,173.1057,846.9239,925.2205,165.2215,1091.7675,953.6148,180.5499,855.4342,954.3445,172.5598,1130.2998,983.1325,-62.2059,818.8832,978.7294,-73.1367
11,969.4654,214.9659,-107.5586,979.0446,198.928,-70.7252,984.3268,198.792,-70.7619,989.3532,198.8991,-70.8138,962.4361,200.2948,-68.6231,957.2373,200.8357,-68.6053,952.3516,201.5612,-68.5886,997.3837,207.0426,123.0321,944.9478,208.9453,134.1766,982.4968,228.389,-34.6117,960.0555,228.2698,-32.2033,1050.9084,306.9612,175.1776,897.8439,301.1519,165.1959,1073.0952,413.3661,-74.02,854.3013,399.8093,-65.1765,982.93,321.8435,-330.034,960.5857,330.0368,-307.022,970.2193,282.6323,-398.6646,970.9902,302.8746,-376.1993,973.1853,279.8039,-370.7457,968.5799,296.1866,-349.8552,976.2983,289.7923,-326.2869,967.4879,305.2538,-302.7366,1012.3329,538.1282,3.0463,917.9176,538.2556,-2.9558,1060.3547,738.145,-26.1239,883.0661,740.5111,-40.8663,1104.9242,924.6789,172.2197,846.9013,925.131,164.5905,1091.8086,953.5113,179.638,855.3412,954.2707,171.8716,1130.2702,983.0909,-62.955,818.8886,978.655,-73.819
12,969.542,215.1287,-106.4649,979.1068,199.0953,-69.6675,984.389,198.9389,-69.7045,989.4069,199.0363,-69.7563,962.4914,200.448,-67.614,957.2967,200.9788,-67.5966,952.4319,201.6821,-67.5804,997.4712,207.1101,123.9658,944.9783,209.0048,135.0299,982.6219,228.5613,-33.5558,960.1102,228.3743,-31.1454,1051.0207,307.005,175.7935,897.8448,301.2885,165.8117,1073.0818,413.4548,-73.2813,854.4131,399.9387,-64.6431,982.8375,321.8426,-329.4431,960.6184,330.1562,-306.2996,970.1427,282.9155,-398.1374,971.0529,303.1217,-375.431,973.1121,280.0218,-370.2082,968.6022,296.3688,-349.1307,976.2183,289.9069,-325.7033,967.4987,305.3958,-302.0197,1012.3821,538.1264,3.042,917.9637,538.2368,-2.9516,1060.3077,738.0959,-26.3607,883.0935,740.5128,-40.9014,1104.9218,924.6316,171.5576,846.8762,925.0591,164.0364,1091.8364,953.4349,178.9492,855.2457,954.2114,171.2714,1130.259,983.056,-63.5513,818.8974,978.5937,-74.4563
13,969.5912,215.2584,-105.5957,979.1478,199.2252,-68.8187,984.4319,199.0533,-68.8557,989.4458,199.1437,-68.9075,962.5261,200.57,-66.8051,957.3357,201.0936,-66.7879,952.4858,201.7809,-66.7722,997.5439,207.1668,124.759,945.0007,209.056,135.7361,982.7114,228.6999,-32.7024,960.1475,228.4633,-30.3001,1051.1074,307.0491,176.4057,897.8467,301.3897,166.2975,1073.0684,413.5253,-72.6536,854.4981,400.0356,-64.2447,982.7687,321.8416,-328.9159,960.6474,330.2512,-305.7936,970.0818,283.1306,-397.6519,971.1107,303.3164,-374.8924,973.0524,280.1912,-369.6904,968.6266,296.5198,-348.6314,976.1557,290.003,-325.1718,967.5118,305.5142,-301.5221,1012.4223,538.1258,3.037,918.0017,538.2229,-2.9466,1060.2674,738.0585,-26.6825,883.1212,740.5169,-41.0425,1104.9195,924.6048,170.7535,846.8536,925.0069,163.4119,1091.8597,953.3938,178.1037,855.1647,954.1691,170.6058,1130.2494,983.0301,-64.3983,818.908,978.5518,-75.1722
